n,m,avg_time
100,30000,43.92104992866516
100,31000,44.83332633972168
100,32000,54.46210169792175
100,33000,54.09416904449463
100,34000,60.727271461486815
100,35000,66.43355841636658
100,36000,59.21498284339905
100,37000,67.652219247818
200,30000,66.79906392097473
200,31000,56.98710384368896
200,32000,65.5237934589386
200,33000,65.72973604202271
200,34000,77.4389280796051
200,35000,71.4598298072815
200,36000,81.3582585811615
200,37000,89.43944368362426
300,30000,59.83398184776306
300,31000,80.38229479789734
300,32000,82.93496971130371
300,33000,77.07814559936523
300,34000,88.47524127960205
300,35000,86.11783494949341
300,36000,72.93206734657288
300,37000,86.07651915550233
400,30000,46.82659964561462
400,31000,45.46287121772766
400,32000,66.40563569068908
400,33000,51.1012680053711
400,34000,67.90716490745544
400,35000,77.54810733795166
400,36000,76.73876128196716
400,37000,84.32043766975403
500,30000,46.06330633163452
500,31000,64.18263936042786
500,32000,55.90109887123108
500,33000,62.1252947807312
500,34000,78.06779866218567
500,35000,82.53560514450074
500,36000,62.337766122817996
500,37000,80.44783487319947
600,30000,49.35068731307983
600,31000,58.12446069717407
600,32000,67.06366662979126
600,33000,77.45181980133057
600,34000,45.76932864189148
600,35000,83.24823379516602
600,36000,71.39195108413696
600,37000,57.9722553730011
